L-Union Square
L-Wilson Avenue
M-14th Street
M-23rd Street
M-34th Street–Herald Square
M-36th Street
M-42nd Street–Bryant Park
M-46th Street
M-47th–50th Streets–Rockefeller Center
M-63rd Drive–Rego Park
M-65th Street
M-67th Avenue
M-Broadway–Lafayette Street
M-Central Avenue
M-Court Square–23rd Street
M-Elmhurst Avenue
M-Essex Street
M-Fifth Avenue/53rd Street
M-Flushing Avenue
M-Forest Avenue
M-Forest Hills–71st Avenue
M-Fresh Pond Road
M-Grand Avenue–Newtown
M-Hewes Street
M-Jackson Heights–Roosevelt Avenue
M-Knickerbocker Avenue
M-Lexington Avenue–53rd Street
M-Lorimer Street
M-Marcy Avenue
M-Middle Village–Metropolitan Avenue
M-Myrtle Avenue
M-Myrtle–Wyckoff Avenues
M-Northern Boulevard
M-Queens Plaza
M-Seneca Avenue
M-Steinway Street
M-West Fourth Street–Washington Square
M-Woodhaven Boulevard
N-14th Street–Union Square
N-18th Avenue
N-20th Avenue
N-23rd Street
N-25th Street
N-28th Street
N-30th Avenue
N-34th Street–Herald Square
N-36th Avenue
N-36th Street
N-39th Avenue
N-45th Street
N-49th Street
N-53rd Street
N-57th Street–Seventh Avenue
N-59th Street
N-72nd Street
N-86th Street
N-96th Street
N-Astoria Boulevard
N-Astoria–Ditmars Boulevard
N-Atlantic Avenue–Barclays Center
N-Avenue U
N-Bay Parkway
N-Broadway
N-Canal Street
N-Canal Street (Broadway)
N-City Hall
N-Coney Island–Stillwell Avenue
N-Cortlandt Street
N-Court Street
N-DeKalb Avenue
N-Eighth Avenue
N-Eighth Street–New York University
N-Fifth Avenue–59th Street
N-Fort Hamilton Parkway
N-Jay Street–MetroTech
N-Kings Highway
N-Lexington Avenue/59th Street
N-Lexington Avenue–63rd Street
N- (lower level – express)
N-New Utrecht Avenue
N-Ninth Street
N-Prince Street
N-Prospect Avenue
N-Queensboro Plaza
N-Rector Street
N-Times Square–42nd Street
N-Union Street
N- (upper level – local)
N-Whitehall Street–South Ferry
Q-14th Street–Union Square
Q-23rd Street
Q-28th Street
Q-34th Street–Herald Square
Q-49th Street
Q-57th Street–Seventh Avenue
Q-72nd Street
Q-86th Street
Q-96th Street
Q-Atlantic Avenue–Barclays Center
Q-Avenue H
Q-Avenue J
Q-Avenue M
Q-Avenue U
Q-Beverley Road
Q-Brighton Beach
Q-Canal Street
Q-Church Avenue
Q-Coney Island–Stillwell Avenue
Q-Cortelyou Road
Q-DeKalb Avenue
Q-Eighth Street–New York University
Q-Kings Highway
Q-Lexington Avenue–63rd Street
Q- (lower level – express)
Q-Neck Road
Q-Newkirk Plaza
Q-Ocean Parkway
Q-Parkside Avenue
Q-Prince Street
Q-Prospect Park
Q-Seventh Avenue
Q-Sheepshead Bay
Q-Times Square–42nd Street
Q-West Eighth Street–New York Aquarium
R-14th Street–Union Square
R-23rd Street
R-25th Street
R-28th Street
R-34th Street–Herald Square
R-36th Street–Fourth Avenue
R-36th Street–Northern Boulevard
R-45th Street
R-46th Street
R-49th Street
R-53rd Street
R-57th Street–Seventh Avenue
R-59th Street
R-63rd Drive–Rego Park
R-65th Street
R-67th Avenue
R-77th Street
R-86th Street
R-Atlantic Avenue–Barclays Center
R-Bay Ridge–95th Street
R-Bay Ridge Avenue
R-Canal Street
R-City Hall
R-Cortlandt Street
R-Court Street
R-DeKalb Avenue
R-Eighth Street–New York University
R-Elmhurst Avenue
R-Fifth Avenue–59th Street
R-Forest Hills–71st Avenue
R-Grand Avenue–Newtown
R-Jackson Heights–Roosevelt Avenue
R-Jay Street–MetroTech
R-Lexington Avenue/59th Street
R-Ninth Street
R-Northern Boulevard
R-Prince Street
R-Prospect Avenue
R-Queens Plaza
R-Rector Street
R-Steinway Street
R-Times Square–42nd Street
R-Union Street
R- (upper level – local)
R-Whitehall Street–South Ferry
R-Woodhaven Boulevard
SIR-Annadale
SIR-Arthur Kill
SIR-Atlantic
SIR-Bay Terrace
SIR-Clifton
SIR-Dongan Hills
SIR-Eltingville
SIR-Grant City
SIR-Grasmere
SIR-Great Kills
SIR-Huguenot
SIR-Jefferson Avenue
SIR-Nassau
SIR-New Dorp
SIR-Oakwood Heights
SIR-Old Town
SIR-Pleasant Plains
SIR-Prince's Bay
SIR-Richmond Valley
